0,0,0,0,0,0,0,0,0,0,
0,0,1009,0,0,0,0,0,0,0,
132651,113111,260785,84971,273192,236818,299680,91017,113317,105309,
142595,108263,229630,97195,270992,236686,267029,94053,82911,91088,
157796,129347,280084,91075,272075,221451,267067,91052,104255,93128,
154774,103236,252103,105199,270248,230567,290396,83868,97363,80968,
0,0,0,0,0,0,0,0,1006,0,
134527,95137,255875,101229,271024,240811,291516,107320,92159,108292,
151848,101126,254941,102378,257831,245924,316489,103087,100259,107249,
142539,117418,271034,76823,293280,249010,283374,83074,76839,97220,
150851,105248,275339,89027,280370,241078,276401,93153,93175,96095,
0,0,0,0,0,0,1002,0,0,0,
152795,128442,235575,99341,269074,226686,265984,96111,93042,77963,
125521,113257,250929,97139,277207,200499,278353,76989,87993,103247,
146693,118425,232899,75868,250016,219534,233701,84965,74920,89957,
143607,116390,224500,95171,277229,216501,282198,106171,91138,84028,
0,0,0,0,0,1014,0,0,0,0,
171962,101221,250980,76895,278086,258990,272186,80961,88965,100095,
150855,111280,239753,85000,280062,191304,273220,98146,83061,100249,
142660,114393,256936,100179,266044,213349,253107,63815,101221,87101,
154777,114415,260046,93281,271299,241754,285399,94049,97222,78976,
0,0,0,0,0,0,0,0,0,1024,
155759,117344,254093,94161,278411,220561,265029,88007,84016,109286,
192280,98092,238836,88062,256009,265017,292443,99201,80925,91123,
138605,114344,250853,92106,269173,216554,260067,97113,77953,103393,
177122,130507,262204,84094,266305,261122,301593,87034,98168,109253,
0,0,0,0,0,0,1001,0,0,0,
149771,125461,255024,85027,236885,237760,264956,80008,86892,74825,
164013,102234,244909,99178,282577,235766,278520,89982,86979,85951,
159772,111385,263078,89967,298455,232568,284167,92065,104182,92008,
151870,108192,237736,77909,253937,226688,273308,118412,100182,95048,
0,0,0,0,0,1021,0,0,0,0,
164833,131520,274157,67789,287477,251985,292738,115391,102109,94210,
158778,113243,260923,78932,281184,231931,267264,75921,95035,87984,
130459,120410,257156,84937,255032,208628,249945,83030,86140,88184,
146812,116482,246167,94219,266039,239838,266973,95109,95097,86984,
0,0,0,0,0,0,0,0,0,1022,
151912,125425,247920,109355,252818,229939,263008,95107,86993,77011,
149769,119456,245899,91101,266286,219650,288619,103232,75917,92167,
153818,103156,262952,100164,289270,226796,288375,95149,97004,91995,
145683,115324,246930,85956,273313,235814,284185,85041,115366,86961,
0,0,0,0,0,1005,0,0,0,0,
145827,91071,260969,92167,276421,243966,301609,103199,92136,85981,
180126,103219,258064,77001,257107,226783,251942,105447,78924,81867,
140680,109252,249021,92239,271213,224709,283287,83013,102264,86948,
151762,100116,239958,90105,278434,211531,273376,86955,99232,89100,
0,0,0,0,0,1021,0,0,0,0,
163981,123573,284521,98149,291578,253210,270195,87949,94164,81958,
160892,116412,252016,103299,287706,248959,290538,78945,93155,88043,
145705,108269,254097,81034,277428,241891,269261,98093,80884,97206,
150772,122369,231654,102203,270021,193364,270299,97234,88100,92079,
0,0,0,0,0,0,1004,0,0,0,
157860,112402,225743,89030,277386,251871,278340,92147,77899,95114,
161828,95140,237887,94111,278363,242786,288192,98206,97127,96013,
136693,118495,277271,90119,287400,207385,278200,90040,89989,92001,
132479,102283,246988,88079,260018,216451,272043,90053,89981,96112,
0,0,0,0,0,0,1000,0,0,0,
133591,82086,228825,73855,258104,223596,269216,99108,96217,97160,
140835,99209,254082,85058,285519,222671,266206,89033,98112,88130,
151773,117357,262229,87050,275327,239851,268177,75957,88056,84818,
154778,113351,244004,90037,252076,231613,277274,91004,83076,93049,
0,0,0,0,0,1022,0,0,0,0,
157776,102132,245964,95055,266117,243938,286348,94099,85099,92134,
178138,95128,242831,74951,258135,275240,301576,113448,100244,96227,
134552,114382,244989,74855,248155,242720,262085,108238,103381,88970,
146811,82075,238774,73937,264110,209531,284360,89945,90062,87015,
0,0,1010,0,0,0,0,0,0,0,
155801,118380,268201,101107,296502,251846,283523,89097,82069,86057,
149625,110277,258029,105268,274180,240763,286389,94116,89005,94130,
150807,121539,270256,94192,292315,224569,275129,84043,102172,90101,
176046,102175,235804,88098,287399,214417,281321,83057,95037,82914,
0,0,0,0,0,0,1011,0,0,0,
147693,92136,235782,98196,259180,226695,303538,96091,89026,101150,
172043,112261,265220,70724,287313,228738,271257,84027,78972,89962,
151734,122394,247911,92118,257058,242793,237731,93107,88193,77879,
152728,116363,274328,92017,275428,220559,265103,96050,90111,80024,
0,0,0,0,0,0,0,1019,0,0,
174963,125455,260889,87139,292395,257968,269327,103310,107215,95153,
151828,118336,263095,95145,250984,231605,268150,95129,83906,73824,
156828,115342,281283,100210,275316,235813,275261,87184,100116,86041,
142708,91120,256065,80936,291447,241944,282294,83045,88968,92042,
0,0,0,0,0,0,0,1000,0,0,
162985,106256,225673,88986,261071,206405,279323,78939,92043,96173,
155930,106275,242916,104309,256198,235986,293464,91068,86056,86030,
142733,123548,269300,96249,268164,212693,268201,75862,99144,89029,
